Mostafa A. Bassiouni,K. A. Hazboun,Ali Orooji
Beng Chin Ooi,Gao Cong,Mario A. Nascimento,Kian-Lee Tan,Masaru Kitsuregawa,Henry F. Korth,Kenneth A. Ross,Sunita Sarawagi,Michael J. Carey,Heng Tao Shen,Wee Hyong Tok,Hongjun Lu,Hector Garcia-Molina,Jeffrey Xu Yu,Anthony K. H. Tung,Limsoon Wong,Surajit Chaudhuri,Daniela Florescu,Jiawei Han,Nick Koudas,Joseph M. Hellerstein,Samuel Madden,Yannis E. Ioannidis,Michael Stonebraker,Philip A. Bernstein,Mong-Li Lee,Raymond T. Ng,Michael J. Franklin,Elisa Bertino,Rakesh Agrawal,HweeHwa Pang,Dimitris Papadias,H. V. Jagadish,Alon Y. Halevy,Cheng Hian Goh,Gerhard Weikum,Divesh Srivastava,Laura M. Haas,Justin Zobel,Raghu Ramakrishnan,Christian S. Jensen,Haifeng Jiang,Weining Qian,Xiaofang Zhou,Chee Yong Chan,Jianwen Su,Johannes Gehrke,AnHai Doan,Christian Bohm,Donald Kossmann,Ron Sacks-Davis,Wei Wang
Ashok Joshi,Gopalan Arun
Torsten Grust,Stefan Manegold,Marc H. Scholl,Jan Flokstra,Michael J. Carey,Loredana Afanasiev,Dean Jacobs,Marco Mesiti,Alfons Kemper,Peter A. Boncz,Maurice van Keulen,Jerome Simeon,Jens Teubner
Wolfgang Klas,Achim Kraiss,Peter Dadam,Beatrice Finance,Peter Fankhauser,Amit P. Sheth,Karl Aberer,Erich J. Neuhold,Peter Muth,Calton Pu,K. Selcuk Candan,Antonio L. Furtado,Klemens Bohm,Marek Rusinkiewicz
Amit Basu,Rafiul Ahad
Jonathan J. King,John Miles Smith,Alexander Borgida,John Mylopoulos,Peter Hitchcock
eva Kuhn,Yungho Leu,Ahmed K. Elmagarmid,Omran A. Bukhres
Oliver Gunther,Hans-Joachim Lenz,Arie Shoshani,Alejandro P. Buchmann,Hans-Arno Jacobsen,Maurizio Lenzerini,Max J. Egenhofer,Michel Scholl
Leo Giakoumakis,Shankar Pal,Cesar A. Galindo-Legaria
Ivan T. Bowman,Kenneth Salem
Richard T. Snodgrass,Curtis E. Dyreson,Barbara Pernici,Christian S. Jensen,Dieter Gawlick,Christos Faloutsos,Stanley B. Zdonik,Rakesh Agrawal,James Clifford,Kenneth A. Ross,Don S. Batory,Z. Meral Ozsoyoglu,Alberto O. Mendelzon,Hans-Jorg Schek,Raghu Ramakrishnan,Gultekin Ozsoyoglu,Patricia G. Selinger,Serge Abiteboul,Krithi Ramamritham,V. S. Subrahmanian,Jennifer Widom,Roberto Zicari,Patrick Valduriez,Sophie Cluet,Michael J. Carey,Suryanarayana M. Sripada,Jeffrey D. Ullman,Amr El Abbadi,Vassilis J. Tsotras,Tomasz Imielinski,Stefano Ceri,Jan Chomicki,Alon Y. Halevy,Khaled K. Al-Taha,Michael J. Franklin,David Maier,Michael D. Soo,Hongjun Lu,Shashi K. Gadia,David B. Lomet,David J. DeWitt,Laura M. Haas,Carlo Zaniolo,Yannis E. Ioannidis,Kyu-Young Whang,Sushil Jajodia,Ramez Elmasri,Gerhard Weikum,Bongki Moon,Nikos A. Lorentzos,Arie Segev,Zachary G. Ives,Holger Meyer,Paolo Tiberio,Duri Schmidt,Sudha Ram,Claudio Bettini,Nick Kline,Niki Pissinou,Abdullah Uz Tansel,Joseph M. Hellerstein,Theodore Johnson,Jim Gray,Masaru Kitsuregawa,Michael H. Bohlen,Inderpal Singh Mumick,Ilsoo Ahn,Martin L. Kersten,Philip S. Yu,Nick Roussopoulos,Elisa Bertino,Guy M. Lohman,Michael Stonebraker,Jeffrey F. Naughton,Timos K. Sellis,Xiaoyang Sean Wang,T. Y. Cliff Leung,Umeshwar Dayal,Philip A. Bernstein,M. Tamer Ozsu,Gio Wiederhold,Hector Garcia-Molina,Peter M. G. Apers
Weidong Chen,Nelson Mendonca Mattos,Yun Wang,Mario A. Nascimento,Bruce G. Lindsay
Xiaoyang Sean Wang,Elisa Bertino,Curtis E. Dyreson,Amihai Motro,Zhen He,V. S. Subrahmanian,Min Wang,Alexander Brodsky,Menas Kafatos,Sushil Jajodia,Sriram Padmanabhan,Daniel Barbara,Xuemin Lin,Edgar H. Sibley,Claudio Bettini,Larry Kerschberg,Byung Suk Lee,Ruixin Yang
Jean-Pierre Cheiney,Georges Gardarin,Christophe de Maindreville,Jean-Marc Thevenin,Patrick Valduriez,Rosana S. G. Lanzelotte,Pascal Faudemay
Michael Siegel,Barbara T. Blaustein,Arnon Rosenthal,Cheng Hian Goh,Sharon C. Salveter,Edward Sciore,Stuart E. Madnick
Jim Gray,Tanu Malik,Patricia G. Selinger,Prakash Sundaresan,David J. DeWitt,Henry F. Korth,Umeshwar Dayal,Dina Bitton,David B. Lomet,Svein-Olaf Hvasshovd,Betty Salzberg,Michael J. Carey,Bradford W. Wade,Bruce G. Lindsay,Timos K. Sellis,Hector Garcia-Molina,Naga K. Govindaraju,Phillip B. Gibbons,Surajit Chaudhuri,Erich J. Neuhold,Jim Melton,Susanne Englert,Hansjorg Zeller,David Beech,Jennifer Widom,Stanley B. Zdonik,Matthias Jarke,Paolo Tiberio,Joseph M. Hellerstein,Yannis E. Ioannidis,Michael Stonebraker,Philip A. Bernstein,Magdalena Balazinska,David Maier,Serge Abiteboul,Joachim W. Schmidt,Michael J. Franklin,Gio Wiederhold,Rakesh Agrawal,Lawrence A. Rowe,Hans-Jorg Schek,Peter C. Lockemann,H. V. Jagadish,Alon Y. Halevy,Andreas Reuter,Hamid Pirahesh,Gerhard Weikum,Dennis Shasha,Stefano Ceri,Ron Obermarck,Donald D. Chamberlin,Adam Bosworth,Martin L. Kersten,Dieter Gawlick,Laura M. Haas,Patrick E. O'Neil,Michael L. Brodie,Irving L. Traiger,Jeffrey D. Ullman,Pat Helland,Goetz Graefe,Mario Schkolnick,Raymond A. Lorie,Jeffrey F. Naughton,Amol Deshpande
Theodore Johnson,Dennis Shasha,Sharma Chakravarthy,Kenneth A. Ross,Kenneth C. Sevcik,Alexandros Biliris,Peter J. Haas,Lukasz Golab,Damianos Chatziantoniou,Vladislav Shkapenyuk,Joseph M. Hellerstein,Kristin Tufte,Flip Korn,Laks V. S. Lakshmanan,Sunil Prabhakar,Sihem Amer-Yahia,Amr El Abbadi,Surajit Chaudhuri,Nick Koudas,Viswanath Poosala,Daniel Barbara,Christos Faloutsos,H. V. Jagadish,Raymond T. Ng,Yannis E. Ioannidis,David B. Lomet,Graham Cormode,Divesh Srivastava,Michael H. Bohlen,David Maier,Eric N. Hanson
Jean-Francois Pons,Philippe Pucheral,Jean Ferrie,Michele Cart
Fausto Rabitti,Alon Y. Halevy,Pavel Zezula,Paolo Tiberio,Serge Abiteboul,Won Kim,Peter Buneman,Elisa Bertino,Craig A. Knoblock,Susan B. Davidson,Yannis E. Ioannidis,Federico Barbic,Gerhard Weikum,Hans-Jorg Schek,Darrell Woelk,David Maier,Paolo Ciaccia
Dongwon Lee,Ee-Peng Lim,Wesley W. Chu,Jian Pei,Nick Koudas,Sudha Ram,Richard R. Muntz,Sanghyun Park,Chen Li,Divesh Srivastava,Murali Mani,Wang-Chien Lee
Harumi A. Kuno,Elke A. Rundensteiner,Wang-Chien Lee,Umeshwar Dayal,Gustavo Alonso,Alfons Kemper
Hector Garcia-Molina,Sergey Brin,Dieter Gawlick,Robert B. Hagmann,Stanley B. Zdonik,Rakesh Agrawal,Vasilis Vassalos,Sunita Sarawagi,Hans-Jorg Schek,Alberto O. Mendelzon,Abraham Silberschatz,Donald Kossmann,Raghu Ramakrishnan,Patricia G. Selinger,Luis Gravano,Yannis Papakonstantinou,Serge Abiteboul,Ashish Gupta,Susan B. Davidson,Kevin Chen-Chuan Chang,Chen Li,Jennifer Widom,Hamid Pirahesh,Ramana Yerneni,Michael J. Carey,Daniel Barbara,Kenneth Salem,Jeffrey D. Ullman,Daniel R. Ries,Surajit Chaudhuri,Johannes Klein,H. V. Jagadish,Michael Rabinovich,Yuri Breitbart,Tomasz Imielinski,Stefano Ceri,Alon Y. Halevy,Anthony Tomasic,Michael J. Franklin,Erhard Rahm,David Maier,David B. Lomet,Dallan Quass,Sharad Mehrotra,David J. DeWitt,Laura M. Haas,Chris Clifton,Yannis E. Ioannidis,Ming-Chien Shan,Meichun Hsu,AnHai Doan,Gerhard Weikum,Barbara T. Blaustein,Peter Scheuermann,Sudarshan S. Chawathe,Martin Theobald,Arnon Rosenthal,Johannes Gehrke,Christopher Olston,Alon Y. Levy,Henry F. Korth,Joseph M. Hellerstein,Rafael Alonso,Walter H. Kohler,Jun Yang,Samuel Madden,Dennis McLeod,Anand Rajaraman,Marjorie Templeton,Tak W. Yan,Rajeev Motwani,Sergey Melnik,Joachim Hammer,Martin L. Kersten,Ahmed K. Elmagarmid,Nick Roussopoulos,Daniela Florescu,Junghoo Cho,Susan Malaika,Guy M. Lohman,Michael Stonebraker,Jeffrey F. Naughton,Timos K. Sellis,Michael L. Brodie,Dale Skeen,Kurt A. Shoens,Frank Manola,Brad Adelberg,Umeshwar Dayal,Philip A. Bernstein,Witold Litwin,Gio Wiederhold,Bruce G. Lindsay
Geneva G. Belford,Sudha Ram,Ozgur Ulusoy
Rajasekar Krishnamurthy,Kristin Tufte,David J. DeWitt,H. V. Jagadish,Yuan Wang,Eugene J. Shekita,Frederick Reiss,Jayavel Shanmugasundaram,Jeffrey F. Naughton,Raghav Kaushik,David Maier,Qiong Luo,Raghu Ramakrishnan,Ashraf Aboulnaga
Alexey Pryakhin,Christian Bohm,Peer Kroger,Hans-Peter Kriegel,Elke Achtert
Edward Omiecinski,Christopher M. Jermaine,Carlos Ordonez,Wai Gen Yee,Michael H. Bohlen,Anindya Datta,Shamkant B. Navathe,Chris Jermaine,Peter Scheuermann,Leo Mark
Sergey Melnik,Philip A. Bernstein,Hong Hai Do,Alon Y. Halevy,Jose A. Blakeley,Gio Wiederhold,Erhard Rahm
Arne-Jorgen Berre,T. Lougenia Anderson,Michele Missikoff
John Mylopoulos,Lucian Popa,Kenneth C. Sevcik,Stefano Spaccapietra,Michael L. Brodie,Avigdor Gal,Dimitris Plexousakis,Joachim W. Schmidt,Matthias Jarke,Barbara Pernici,Harry K. T. Wong,Adel Shrufi,Brian A. Nixon,Tiziana Catarci,Paolo Paolini,Nick Roussopoulos,Renee J. Miller,Philip A. Bernstein,Manolis Koubarakis,Gio Wiederhold,Anastasios Kementsietsidis,Paolo Atzeni,Alexander Borgida,Mike P. Papazoglou
Jayavel Shanmugasundaram,Qiong Luo,Zachary G. Ives,Yuan Wang,Daniela Florescu,Zhiyuan Chen,Oded Shmueli,Narain H. Gehani,Ashraf Aboulnaga,Jeffrey F. Naughton,Kristin Tufte,Christopher Re,Flip Korn,Hamid Pirahesh,Johannes Gehrke,Laura M. Haas,Sihem Amer-Yahia,David J. DeWitt,Bruce G. Lindsay,Minos N. Garofalakis,Nick Koudas,Kevin S. Beyer,Raghu Ramakrishnan,Michael J. Carey,Gerhard Weikum,Dina Bitton,Krithi Ramamritham,Divesh Srivastava,Subbu N. Subramanian,David Maier,Eugene J. Shekita
Carla Schlatter Ellis,Adam Silberstein,Jun Yang
Philippe Richard,Francois Bancilhon,Sophie Cluet,Serge Abiteboul,Claude Delobel,Michel E. Adiba,Michel Scholl
Jianwen Su,Amr El Abbadi,Kian-Lee Tan,Sridhar Ramaswamy,Richard Hull,Kyuseok Shim,Gustavo Alonso,Sunil Prabhakar,Divyakant Agrawal,Ambuj K. Singh,Francois Llirbat,Eric Simon
Arbee L. P. Chen,Son Dao,Jose A. Blakeley,Weining Zhang,Gustavo Alonso,Keh-Chang Guh,Leszek Lilien,Clement T. Yu,Marjorie Templeton,Wang-Chien Lee
Ralf Hartmut Guting,Hans-Peter Kriegel,Michel Scholl,Philippe Rigaux,Barbara Pernici,Michael H. Bohlen,Timos K. Sellis,Roberto Zicari,Manolis Koubarakis,Nikos A. Lorentzos,Hans-Jorg Schek,Enrico Nardelli,Christian S. Jensen
Minos N. Garofalakis,Frederick Reiss,Kenneth A. Ross,Amol Deshpande,Rajeev Rastogi,Michael J. Franklin,Abraham Silberschatz,Chee Yong Chan,Vasilis Vassalos,Shivnath Babu,Marco Mesiti,Joseph M. Hellerstein,Jeffrey F. Naughton,Wenfei Fan,Sridhar Ramaswamy,Yuri Breitbart,S. Seshadri,Johannes Gehrke,Kaushik Chakrabarti,Raghu Ramakrishnan,Kyuseok Shim,Nick Roussopoulos,Neoklis Polyzotis,Yannis E. Ioannidis,Graham Cormode,Phillip B. Gibbons,Ioana Manolescu,Alin Dobra,Wei Wang,Bhavani M. Thuraisingham,George A. Mihaila
Vincent Y. Lum,C. Thomas Wu,Michael E. Senko,Shamkant B. Navathe,Stanley Y. W. Su,Barron C. Housel,Gunter Schlageter,Peter Dadam,David K. Hsiao,Nan C. Shu,Daniel A. Keim,Mario Schkolnick,Harry K. T. Wong,Henk M. Blanken,Toby J. Teorey,C. P. Wang,Peter Pistor,R. Erbe,James P. Fry,Jaideep Srivastava,Sakti P. Ghosh
Debabrata Dey,Robert C. Goldstein,Veda C. Storey
Cyrus Shahabi,Dennis McLeod,Shahram Ghandeharizadeh,Kian-Lee Tan,Wei Hong,Craig A. Knoblock,Per-Ake Larson,Surajit Chaudhuri,Karl Aberer
Wai Gen Yee,Chris Jermaine,Christopher M. Jermaine,Shamkant B. Navathe
Christian Bohm,Hans-Peter Kriegel,Christos Faloutsos,Jorg Sander,Thomas Seidl,Elke Achtert,Peer Kroger,H. V. Jagadish,Stefan Berchtold,Daniel A. Keim
Antonin Guttman,W. Bradley Rubenstein,Michael Stonebraker
Venkatesh Ganti,Eugene Agichtein,James C. French,Dong Xin,Sanjay Agrawal,Vivek R. Narasayya,Rajeev Motwani,Mong-Li Lee,Jiawei Han,Johannes Gehrke,Surajit Chaudhuri,Kaushik Chakrabarti,Arnd Christian Konig,Viswanath Poosala,Raghu Ramakrishnan,Yannis E. Ioannidis,Krithi Ramamritham,Raghav Kaushik,Luis Gravano,Umeshwar Dayal
Kyuseok Shim,Timos K. Sellis,Kenneth A. Ross,Rajeev Rastogi,Zhiyuan Chen,Ravi Krishnamurthy,Yuqing Wu,Sridhar Ramaswamy,S. Seshadri,Surajit Chaudhuri,Kaushik Chakrabarti,Nick Koudas,Sunita Sarawagi,Raymond T. Ng,Mary F. Fernandez,Sergey Brin,Chin-Wan Chung,Yannis E. Ioannidis,Rakesh Agrawal
Curtis E. Dyreson,Paolo Tiberio,T. Y. Cliff Leung,Christian S. Jensen,Torben Bach Pedersen,Abdullah Uz Tansel,Nick Kline,Don S. Batory,Sudha Ram,Nikos A. Lorentzos,Anindya Datta,Mario A. Nascimento,James Clifford,Sushil Jajodia,Arie Segev,Barbara Pernici,Margaret H. Dunham,Michael D. Soo,Suryanarayana M. Sripada,Shashi K. Gadia,Claudio Bettini,Dieter Pfoser,Ramez Elmasri,Gio Wiederhold,Michael H. Bohlen,Ilsoo Ahn
Setrag Khoshafian,David J. DeWitt,Michael J. Carey,Harry K. T. Wong,Patrick Valduriez,George P. Copeland,Francois Bancilhon,Haran Boral,Michael J. Franklin,Arvola Chan
Ralf Kramer,Klaus R. Dittrich,Epaminondas Kapetanios,Peter C. Lockemann,Gunter von Bultzingsloewen
E. Nahouraii,Wesley W. Chu,Alfonso F. Cardenas
Pei-Jyun Leu,Bharat K. Bhargava
Alex Delis,Euthimios Panagos,Timos K. Sellis,Vassilis J. Tsotras,Yannis Kotidis,Vasilis Vassalos,Yannis Papakonstantinou,Torsten Suel,George Kollios,Marios Hadjieleftheriou,Nick Roussopoulos,Aris M. Ouksel,Louiqa Raschid,Athman Bouguettaya,Chung-Min Chen,Mike P. Papazoglou,Panos K. Chrysanthis,George Samaras,Dimitrios Gunopulos
Ernest Szeto,Victor M. Markowitz,I-Min A. Chen
Dennis McLeod,Elisa Bertino,Joachim Hammer,Roger King,Frank Manola,Shahram Ghandeharizadeh,R. G. G. Cattell,Abraham Silberschatz,Rafiul Ahad,Peter Scheuermann,Antonio Si,I-Min A. Chen,Richard Hull,John Miles Smith,Peter Buneman,Ahmed K. Elmagarmid,Arnon Rosenthal,Marek Rusinkiewicz,Peter Lyngbak,Marjorie Templeton,K. V. Bapa Rao,Alfonso F. Cardenas,Michael Hammer
Richard Hull,Roger King,Shahram Ghandeharizadeh,Masatoshi Yoshikawa,V. S. Subrahmanian,Jeffrey D. Ullman,Eric Simon,I-Min A. Chen,Marcia A. Derr,Jerome Simeon,Peter Buneman,Francois Llirbat,Arnaud Sahuguet,Serge Abiteboul,Sophie Cluet,Dean Jacobs,Timothy Griffin,Daniel J. Rosenkrantz,Claude Delobel,Chris Clifton,David W. Stemple,Maurizio Lenzerini,David Maier,Daniel F. Lieuwen
Paolo Naggar,Enrico Nardelli,Maurizio Lenzerini
Ada Wai-Chee Fu,Jian Pei,Wei Wang,Jian Tang,Xuemin Lin,Alexander Tuzhilin,Jeffrey Xu Yu,Jiawei Han,Clement T. Yu,Man Hon Wong,Philip S. Yu,Haixun Wang,Yufei Tao
Sunita Sarawagi,Kenneth A. Ross,Amol Deshpande,Daniela Florescu,Soumen Chakrabarti,Michael J. Franklin,Joseph M. Hellerstein,Alon Y. Halevy,Vivek R. Narasayya,Jeffrey F. Naughton,Vinayak R. Borkar,Prasad Deshpande,Henry F. Korth,Michael Stonebraker,Johannes Gehrke,Charu C. Aggarwal,Laura M. Haas,Surajit Chaudhuri,Samuel Madden,Nick Koudas,Raghu Ramakrishnan,Michael J. Carey,Gerhard Weikum,S. Sudarshan,Yannis E. Ioannidis,Donald Kossmann,Divesh Srivastava,Ashish Gupta,Alfons Kemper,Philip A. Bernstein,Rakesh Agrawal,AnHai Doan
Roger S. Barga,Shirley Cohen,Michael Wilde,Per-Ake Larson,Calton Pu,Susan B. Davidson,Mohamed F. Mokbel,Juliana Freire,David B. Lomet,Gerhard Weikum,Surajit Chaudhuri,Ling Liu,Vivek R. Narasayya,Bertram Ludascher,Sanjay Agrawal,Zografoula Vagena,Mohamed H. Ali
Torsten Schlieder,Felix Naumann
Elke Achtert,Peer Kroger,Hans-Peter Kriegel
Shamkant B. Navathe,Don S. Batory,Stefano Spaccapietra,Ramez Elmasri,Amit P. Sheth,James P. Fry,Kyu-Young Whang,Sharma Chakravarthy,Anindya Datta,Stanley Y. W. Su,Chris Jermaine,Ee-Peng Lim,Erich J. Neuhold,Klaus R. Dittrich,Krithi Ramamritham,S. Misbah Deen,Toby J. Teorey,S. Bing Yao,Jaideep Srivastava,Gio Wiederhold,Naphtali Rishe,Maurizio Lenzerini,San-Yih Hwang,Stefano Ceri,Leo Mark,Sunit K. Gala,Valeria De Antonellis,Peter Dadam,James A. Larson,Sakti P. Ghosh,Anant Jhingran,Mario Schkolnick,Eugene Agichtein,Michael V. Mannino
Antonio Si,Shahram Ghandeharizadeh,Joachim Hammer
John Miles Smith,Umeshwar Dayal,Alexander Borgida,Peter Hitchcock
Arun N. Swami,Christos Faloutsos,Ashish Gupta,Honesty C. Young,Antoine N. Mourad,Balakrishna R. Iyer,Michael J. Carey,S. Seshadri,Peter J. Haas,K. Bernhard Schiefer,Maurice A. W. Houtsma,Praveen Seshadri,Sakti P. Ghosh,Jeffrey F. Naughton,Jennifer Widom,Tomasz Imielinski,Rakesh Agrawal
Anthony Tomasic,Patrick Valduriez,Laurent Amsaleg,Michael J. Franklin,Christopher Olston,Eric Simon,Georges Gardarin,Philippe Bonnet,Laura M. Haas,Anastassia Ailamaki,Kurt A. Shoens,Peter Fankhauser,M. Lopez,M. Tamer Ozsu,Louiqa Raschid,Phillip B. Gibbons,Peter M. Schwarz,Luis Gravano,Zoe Lacroix,George A. Mihaila
Sven Helmer,Donald Kossmann,Thomas Neumann,Guido Moerkotte
Jignesh M. Patel,Kristin Tufte,Kanda Runapongsa,David J. DeWitt,Shurug Al-Khalifa,Yuqing Wu,Sriram Padmanabhan,Michael J. Carey,Nick Koudas,Kenneth A. Ross,Yannis E. Ioannidis,Susan B. Davidson,Laks V. S. Lakshmanan,H. V. Jagadish,Raghav Kaushik,Jeffrey F. Naughton,Divesh Srivastava,Cong Yu
Donghui Zhang,Vassilis J. Tsotras,Kenneth A. Ross,Shashi Shekhar,Zografoula Vagena,Zhiyuan Chen,Christian A. Lang,Haixun Wang,George Kollios,Jian Pei,Mohamed F. Mokbel,Jiong Yang,Yufei Tao,Betty Salzberg,Carlo Zaniolo,Jun Yang,Bernhard Seeger,Wei Wang,Dimitrios Gunopulos
Anand Deshpande,Jose A. Blakeley
Erich J. Neuhold,Calton Pu,Stefano Spaccapietra,David J. DeWitt,Amit P. Sheth,Masaru Kitsuregawa,Rudolf Bayer,Umeshwar Dayal,David B. Lomet,Yuri Breitbart,Peter Muth,Betty Salzberg,Bruce G. Lindsay,Bernd Walter,Felix Saltor,Leonard J. Seligman,Ee-Peng Lim,S. Misbah Deen,Matthias Jarke,Michael Stonebraker,Philip A. Bernstein,David Maier,Aris M. Ouksel,Joachim W. Schmidt,Gio Wiederhold,Rakesh Agrawal,Hans-Jorg Schek,Maurizio Lenzerini,Lawrence A. Rowe,Peter C. Lockemann,Andreas Reuter,Anne H. H. Ngu,Dieter Gawlick,Tiziana Catarci,Karl Aberer,Peter Fankhauser,V. S. Subrahmanian,Klemens Bohm,Anant Jhingran,Antonio L. Furtado
Mikael Berndtsson,Daniel F. Lieuwen,Sharma Chakravarthy
