Xiangji Huang,Stefan M. Ruger,Stephen E. Robertson,Dawei Song,Micheline Hancock-Beaulieu,Stephen Robertson,Fuchun Peng
Lynn A. Streeter,Susan T. Dumais
Udo Kruschwitz,Richard F. E. Sutcliffe
Amit Singhal,Chris Buckley,Jinxi Xu,Alan F. Smeaton,David D. Lewis,Susan T. Dumais,John M. Prager,Dragomir R. Radev,Norbert Fuhr,Wessel Kraaij,Gerard Salton,Mark Sanderson,Stephen E. Robertson,Donna Harman,Mandar Mitra,David J. Harper,Victor Lavrenko,James P. Callan,ChengXiang Zhai,W. Bruce Croft,Howard R. Turtle,Djoerd Hiemstra,Ellen M. Voorhees,Thomas Hofmann,Nicholas J. Belkin
Mandar Mitra,Chris Buckley,Gerard Salton
Ben Carterette,Rosie Jones,Javed A. Aslam,Fazli Can,Susan T. Dumais,Paul N. Bennett
Maarten de Rijke,Leif Azzopardi,Christof Monz,Wessel Kraaij,Jaap Kamps,Richard F. E. Sutcliffe,Borkur Sigurbjornsson
Anita Komlodi,Gary Marchionini,Dagobert Soergel
Vicente P. Guerrero Bote,Felix de Moya Anegon
Gabriel Illouz,Christian Jacquemin,Sasha Blair-Goldensohn
Victor Lavrenko,Chris Buckley,Jinxi Xu,Alan F. Smeaton,Paul Ogilvie,David D. Lewis,Susan T. Dumais,John M. Prager,Dragomir R. Radev,Norbert Fuhr,Wessel Kraaij,Mark Sanderson,Stephen E. Robertson,Donna Harman,David J. Harper,Jamie Callan,Donald Metzler,Toni M. Rath,James P. Callan,ChengXiang Zhai,W. Bruce Croft,Howard R. Turtle,Djoerd Hiemstra,Leah S. Larkey,Margaret E. Connell,Ellen M. Voorhees,Thomas Hofmann,Nicholas J. Belkin
Gary Marchionini,Dagobert Soergel,Gheorghe Muresan,Donald H. Kraft,Xia Lin,Josiane Mothe,Tefko Saracevic,Stephanie W. Haas,Peter Liebscher,Hsinchun Chen,Elizabeth D. Liddy,Edward A. Fox,Barbara M. Wildemuth,Chirag Shah,Candy Schwartz,Valerie Florance,William R. Hersh,Ryen W. White,Miles Efron,Xiangming Mu,Justin Zobel
Koji Eguchi,W. Bruce Croft,Noriko Kando,Sung-Hyon Myaeng,Chirag Shah,Hsin-Hsi Chen,Yohei Seki,Kazuaki Kishida
Sheng Gao,Jean-Pierre Chevallet
Martin Braschler,Min-Yen Kan,Maristella Agosti,Paraic Sheridan,Donna Harman,Mark Sanderson,Julio Gonzalo,Peter Schauble
Makoto Iwayama,Noriko Kando
David A. Grossman,Shuang Liu,Ellen M. Voorhees,Eric C. Jensen,Ophir Frieder,Steven M. Beitzel,Shlomo Argamon,James R. Driscoll,David D. Lewis,Clement T. Yu,Abdur Chowdhury,Ling Ma
Dania Bilal,Peiling Wang
Zhiwei Li,Deng Cai
Kyoung-Soo Han,Dae-Ho Baek,Sung-Hyon Myaeng,Sang-Bum Kim
Pavel Calado,Nivio Ziviani,Edleno Silva de Moura,Marco Cristo,Weiguo Fan,Berthier A. Ribeiro-Neto,Edward A. Fox,Paul-Alexandru Chirita
Ling Hwey Jeng,Patrick Doreian,Ophir Frieder,Liwen Qiu
Jesper W. Schneider,Birger Larsen,Pia Borlund
Carolyn J. Crouch,Michael McGill,Donald H. Kraft,Donna Harman,Michael Lesk,Donald B. Crouch,Karen Sparck Jones,Edward A. Fox
Yasushi Ogawa,Noriko Kando,Tetsuya Sakai,Toru Matsuda
Thomas Rolleke,Yoelle S. Maarek,Ian Ruthven,Gabriella Kazai,Arjen P. de Vries,Mounia Lalmas,Ricardo A. Baeza-Yates,Norbert Fuhr
Edward A. Fox,Hsinchun Chen,Tamas E. Doszkocs,Roy Rada,James C. French,Donald H. Kraft,Fazli Can,Sung-Hyon Myaeng,Fausto Rabitti,Gerard Salton,Paul B. Kantor,Donna Harman,Hongyuan Zha,Michael McGill,Hua-Jun Zeng,Karen Sparck Jones,Marco Cristo,Martha W. Evens,Nicholas J. Belkin,Chris Buckley,Berthier A. Ribeiro-Neto,Christine L. Borgman,Weiguo Fan,Ricardo A. Baeza-Yates,Ming Luo,Peter Ingwersen,Jeffrey Pomerantz,W. Bruce Croft,Michael Lesk,Wensi Xi,Matthew B. Koll,Zheng Chen,Barbara M. Wildemuth,Michael D. Gordon,Ellen M. Voorhees
John Tait,Christopher Stokoe,Michael P. Oakes,Stephen Robertson,Karen Sparck Jones
Roxana Girju,V. Finley Lacatusu,Marius Pasca
Richard J. Cox,Anthony Debons,Christinger Tomer,David Robins,Donald W. King
John D. Burger,Warren R. Greiff
Kalervo Jarvelin,T. D. Wilson,Jaana Kekalainen,Peter Ingwersen,Pertti Vakkari,Heikki Keskustalo,Turid Hedlund,Ari Pirkola,Eero Sormunen,Jaana Kristensen,Nils Pharo,Airi Salminen,Sanna Talja
Won Yong Kim,Joon Ho Lee
Jaana Kristensen,Eero Sormunen,Heikki Keskustalo
Murat Karamuftuoglu,Stephen E. Robertson,Olga Vechtomova
Akiko N. Aizawa,Keita Tsuji,Kyo Kageura,Kyung-Soon Lee
Alvaro Barreiro,Roi Blanco,David E. Losada
Sherry Koshman,Bernard J. Jansen,Amanda Spink
Paul Thompson,Dagobert Soergel,Howard R. Turtle
W. Boyd Rayward,Caroline Haythornthwaite,Geoffrey C. Bowker
Wolfgang Glanzel,Liwen Vaughan,Ronald Rousseau
Kathryn La Barre,Debora Shaw,Blaise Cronin
Walter Liggett,Chris Buckley
Christine L. Borgman,Geoffrey C. Bowker,Nicholas J. Belkin,Charles T. Meadow,Ann Peterson Bishop,Sandra G. Hirsh,Peter Ingwersen,Susan T. Dumais,W. Bruce Croft,Ronald E. Rice,Michael Lesk,Roy Rada,Clifford A. Lynch,Anne J. Gilliland-Swetland,Micheline Hancock-Beaulieu,Donald Owen Case,Rich Gazan
Hang Li,Yunbo Cao,Xueqi Cheng,Nick Craswell,Chin-Yew Lin,ChengXiang Zhai,Rong Jin,Tao Qin,Jian-Yun Nie
Joseph Branin,Nancy Rohde,Detmar W. Straub,George D'Elia
Donald Metzler,Evgeniy Gabrilovich,Susan T. Dumais,Andrei Z. Broder,W. Bruce Croft,Fernando Diaz,Justin Zobel,Vassilis Plachouras,Alistair Moffat
Josiane Mothe,William R. Hersh,Candy Schwartz,Tefko Saracevic,Gilles Hubert,Donald H. Kraft,Mohand Boughanem,Justin Zobel
In-Ho Kang,Key-Sun Choi
Peter Schauble,Min-Yen Kan,Hans-Peter Frei,Paraic Sheridan,Donna Harman
Jacques Savoy,David Hawking,Michel Beigbeder,Yves Rasolofo,Justin Picard
Christine Michel,Leo Egghe
Michael D. Gordon,David C. Blair,Manfred Kochen,Weiguo Fan,Susan T. Dumais,Wensi Xi
Christopher J. Fox,William B. Frakes
Michael P. Oakes,Chris D. Paice,Christopher Stokoe,Robert J. Gaizauskas
Rich Gazan,Anne J. Gilliland-Swetland
Fausto Rabitti,Pavel Zezula,Yosi Mass
Erica Cosijn,Ari Pirkola,Peter Ingwersen,Ross Wilkinson,Heikki Keskustalo
J. Scott Olsson,Douglas W. Oard
John M. Prager,Chris Buckley,Jinxi Xu,Alan F. Smeaton,David D. Lewis,Zhu Zhang,Susan T. Dumais,Dragomir R. Radev,Norbert Fuhr,Wessel Kraaij,Mark Sanderson,Stephen E. Robertson,Donna Harman,David J. Harper,Weiguo Fan,James P. Callan,ChengXiang Zhai,W. Bruce Croft,Howard R. Turtle,Djoerd Hiemstra,Eric W. Brown,Sasha Blair-Goldensohn,Ellen M. Voorhees,Thomas Hofmann,Nicholas J. Belkin
Judy Bateman,Howard Greisdorf,Tefko Saracevic,Bernard J. Jansen,Amanda Spink
Philip J. Smith,Charles R. Hildreth,Mark H. Chignell
Mika Rautiainen,Douglas W. Oard,Kareem Darwish
Mirja Iivonen,Maija-Leena Huotari,Diane H. Sonnenwald
Robert Krovetz,W. Bruce Croft,Howard R. Turtle
Francine Chen,Cyril Goutte,Thomas Hofmann,Jan O. Pedersen
Gregory Grefenstette,William R. Hersh,James G. Shanahan,David A. Evans,Christian Fluhr,Steve Renals,David A. Hull,Jan O. Pedersen
Jose Perez Carballo,Nicholas J. Belkin,Soyeon Park,Colleen Cool,James D. Anderson,Shin-jeng Lin,Tomek Strzalkowski,Soo Young Rieh,Diane Kelly
Linda Schamber,David Robins,Carol L. Barry,Amanda Spink
Gene Golovchinsky,Nicholas J. Belkin,Chirag Shah,Mark H. Chignell
Ray R. Larson,Aitao Chen,Hideo Joho,Edie M. Rasmussen,Fredric C. Gey,Mark Sanderson,Jerome McDonough,Michael K. Buckland
Christopher C. Vogt,Craig Silverstein,Brian T. Bartell,Jan O. Pedersen
Pia Borlund,Ian Ruthven,Peter Ingwersen,Piet Seiden
Anita Coleman,Cheryl Knott Malone
Xueqi Cheng,Jin Zhang,Hongbo Xu,Christopher C. Yang
Shaoyi He,Amanda Spink,Stephanie W. Haas
Scott Nicholson,Jeffrey Pomerantz
Peter Willett,Jonathan Furner,W. Bruce Croft,Suliman Al-Hawamdeh,Michael F. Lynch,Ruth V. Spriggs,Robert J. Gaizauskas,Edie M. Rasmussen,David Ellis,Alexander M. Robertson
Ralitsa Angelova,Stefan Siersdorfer
Caroline M. Eastman,Stephen F. Weiss,Bernard J. Jansen
Pauline A. Cochrane,Hsinchun Chen,Bruce R. Schatz
Giambattista Amati,Giovanni Romano
Michael Lesk,Jan O. Pedersen,Gerard Salton,W. Bruce Croft,Donald H. Kraft,Matthew B. Koll,Terry Noreault,Donna Harman,Michael McGill,Karen Sparck Jones
Thierry Lafouge,Michel Beigbeder
Gregory B. Newby,Kiduk Yang,Jane Greenberg
G. M. Dyson,Michael F. Lynch
Shlomo Argamon,James G. Shanahan,Ophir Frieder,Ellen M. Voorhees,David D. Lewis,Abdur Chowdhury
Stephen E. Robertson,Djoerd Hiemstra,Mohand Boughanem,William S. Cooper,David A. Hull,Nick Craswell,Alan F. Smeaton,Susan T. Dumais,Thomas Hofmann,Mark Sanderson,Norbert Fuhr,Micheline Beaulieu,Olga Vechtomova,ChengXiang Zhai,Hugo Zaragoza,Jinxi Xu,David J. Harper,Paul B. Kantor,Donna Harman,Andy MacFarlane,James P. Callan,Jian-Yun Nie,C. J. van Rijsbergen,Karen Sparck Jones,Howard R. Turtle,Nicholas J. Belkin,Gareth J. F. Jones,Fuchun Peng,Min Zhang,David Bodoff,Ian Soboroff,Chris Buckley,David D. Lewis,Wessel Kraaij,David Hawking,Edie M. Rasmussen,Tetsuya Sakai,W. Bruce Croft,Dragomir R. Radev,Micheline Hancock-Beaulieu,Ellen M. Voorhees,M. E. Maron
Vo Ngoc Anh,Alistair Moffat
Andrew Large,Jamshid Beheshti,Charles Cole
Fuchun Peng,Jinxi Xu,Stephen Robertson
Cornelis Joost van Rijsbergen,Leif Azzopardi,Iadh Ounis,Fidel Cacheda,Vassilis Plachouras,Joemon M. Jose
Zorana Ercegovac,Harold Borko
Min-Yen Kan,Yi Zhang,Mun-Kew Leong,Hang Cui,Hui Yang,Ee-Peng Lim
Ellen M. Voorhees,Chris Buckley,Jinxi Xu,Alan F. Smeaton,Ophir Frieder,Nick Craswell,Richard M. Tong,David D. Lewis,Paul B. Kantor,Susan T. Dumais,Dragomir R. Radev,Wessel Kraaij,Norbert Fuhr,Gerard Salton,Mark Sanderson,Donna Harman,David J. Harper,Karen Sparck Jones,Ian Soboroff,James P. Callan,ChengXiang Zhai,W. Bruce Croft,Howard R. Turtle,Djoerd Hiemstra,David Hawking,Thomas Hofmann,Nicholas J. Belkin
David Carmel,Ian Soboroff,Yoelle S. Maarek,Einat Amitay,Andrei Z. Broder,Yosi Mass,Jason Y. Zien,Ricardo A. Baeza-Yates,Ronny Lempel
Ian Soboroff,Ben He,Arjen P. de Vries,Iadh Ounis,James Mayfield,Mark Sanderson,Chris Buckley,Charles L. A. Clarke,Nick Craswell,Charles K. Nicholas,Abdur Chowdhury,Douglas W. Oard,Donna Harman
Tao Qin,Hsin-Hsi Chen,Zheng Chen
Deng Cai,ChengXiang Zhai
Abraham Bookstein,Don R. Swanson,Timo Raita,Paul B. Kantor,Martin Dillon,Donald H. Kraft,I. K. Ravichandra Rao,Robert M. Losee,Clement T. Yu,Tefko Saracevic,Shmuel T. Klein,Neil R. Smalheiser
Elizabeth D. Liddy,Stuart A. Sutton,Anne Diekema,Susan Bonzi,Farhad Oroumchian,Paraic Sheridan,Helene Hembrooke,Sung-Hyon Myaeng,Jiangping Chen,Corinne L. Jorgensen
Ian Ruthven,Mark D. Dunlop,Fabio Crestani,Joemon M. Jose,Iadh Ounis,C. J. van Rijsbergen,Mark Sanderson,Ryen W. White,Gabriella Kazai,Vassilis Plachouras,Leif Azzopardi,Mounia Lalmas
Bryce Allen,Linda C. Smith,F. W. Lancaster,Jian Qin,Kyung-Sun Kim
Arjen P. de Vries,Paul Over,Alan F. Smeaton,Anne Diekema,Ricardo A. Baeza-Yates,Djoerd Hiemstra,James A. Thom,Nick Craswell,Yoelle S. Maarek,Gabriella Kazai,Stephen Robertson,Mark E. Rorvig,Mounia Lalmas,Thijs Westerveld
Jean-Pierre Chevallet,Mun-Kew Leong,Daniel Racoceanu,Marie-France Bruandet,Jian-Yun Nie,Iadh Ounis,Yves Chiaramella
Katherine W. McCain,Abby Goodrum,Howard D. White
Kevin L. Fox,Ophir Frieder
F. W. Lancaster,Linda C. Smith,Jian Qin
Tao Tao,ChengXiang Zhai
Hong (Iris) Xie,Dietmar Wolfram
Karen Sparck Jones,Tetsuya Sakai,Mark Sanderson,Tomek Strzalkowski,Donald H. Kraft,Gareth J. F. Jones,Mohand Boughanem,David D. Lewis,Brigitte Endres-Niggemeyer,Donna Harman,Michael McGill
Edie M. Rasmussen,Alan F. Smeaton,Kai A. Olsen,Robert Korfhage,Donald H. Kraft,Sujin Kim,Micheline Hancock-Beaulieu,Hsin-liang Chen,Jin Zhang
Ting Liu,Min Zhang,Tomek Strzalkowski,Diane Kelly,Nina Wacholder
Sami Serola,Pertti Vakkari
William B. Frakes,Omar Alonso,Ricardo A. Baeza-Yates
Donna Harman,Djoerd Hiemstra,Maristella Agosti,Nick Craswell,Susan T. Dumais,Alan F. Smeaton,Mark Sanderson,Thomas Hofmann,Donald H. Kraft,Norbert Fuhr,Paraic Sheridan,ChengXiang Zhai,Jinxi Xu,David J. Harper,Michael McGill,James P. Callan,Paul Over,Howard R. Turtle,Nicholas J. Belkin,Jamie Callan,Paul B. Thistlewaite,Chris Buckley,David D. Lewis,Wessel Kraaij,Ricardo A. Baeza-Yates,David Hawking,W. Bruce Croft,Dragomir R. Radev
Javed Mostafa,Linda C. Smith,Wai Lam,Travis Bauer
Luo Si,Paul Ogilvie,David A. Evans,Jamie Callan,Rong Jin,Joyce Y. Chai,ChengXiang Zhai,James P. Callan
Zheng Chen,Hua-Jun Zeng,Weiguo Fan,ChengXiang Zhai,Yiming Yang,Wensi Xi
Ana B. Benitez,Corinne Jorgensen
Silviu Cucerzan,Charles L. A. Clarke,Ryen W. White,Eugene Agichtein
Zhu Zhang,Sasha Blair-Goldensohn,Hsinchun Chen,Jahna Otterbacher,Dragomir R. Radev,Weiguo Fan
Charles Cole,Jamshid Beheshti,Amanda Spink
Jerome McDonough,Sanjeev Khudanpur
David D. Lewis,Chris Buckley,Eric C. Jensen,Jinxi Xu,Alan F. Smeaton,Ophir Frieder,Susan T. Dumais,Dragomir R. Radev,Wessel Kraaij,Norbert Fuhr,Mark Sanderson,David J. Harper,Yiming Yang,James P. Callan,Steven M. Beitzel,ChengXiang Zhai,W. Bruce Croft,Howard R. Turtle,Djoerd Hiemstra,Fabrizio Sebastiani,Thomas Hofmann,Nicholas J. Belkin,Abdur Chowdhury,Laszlo Grunfeld,K. L. Kwok
Stefano Mizzaro,Mark D. Dunlop,Fabio Crestani,Giovanni Romano,Stephen Robertson,Giorgio Brajnik
Howard R. Turtle,Chris Buckley,Jinxi Xu,Alan F. Smeaton,Warren R. Greiff,Susan T. Dumais,Dragomir R. Radev,Norbert Fuhr,Wessel Kraaij,Mark Sanderson,David J. Harper,James P. Callan,ChengXiang Zhai,W. Bruce Croft,Djoerd Hiemstra,Thomas Hofmann,Nicholas J. Belkin
Franciska de Jong,Djoerd Hiemstra,Douglas W. Oard,Steve Renals,Wessel Kraaij
Masaharu Yoshioka,Noriko Kando,Kyo Kageura
Oh-Woog Kwon,Gary Geunbae Lee,Key-Sun Choi,In-Su Kang
Fredric C. Gey,Kazuaki Kishida,James C. French,William S. Cooper,Julio Gonzalo,Mark Sanderson,Aitao Chen,Chin-Yew Lin,Noriko Kando,Gareth J. F. Jones,Douglas W. Oard,Michael K. Buckland,Hideo Joho
Sanda Erdelez,Philip Doty
Airi Salminen,Jean Tague,Jean Tague-Sutcliffe,Carolyn R. Watters
Jahna Otterbacher,Sasha Blair-Goldensohn,Dragomir R. Radev
Eric C. Jensen,Steven M. Beitzel,Ophir Frieder,Ling Ma,Abdur Chowdhury
Hang Cui,Gordon Sun,Jian-Yun Nie,Hui Yang
James G. Shanahan,David A. Evans,David A. Hull
Carol Tenopir,Peiling Wang,Diane Nahl,Concepcion S. Wilson,David Nicholas,Donald W. King,Paul Huntington
David Ellis,Tom Wilson,Jonathan Furner,T. D. Wilson,Nigel Ford,Amanda Spink
Michael McGill,Linda C. Smith,Gerard Salton,Martin Dillon,Donald H. Kraft,Matthew B. Koll,Terry Noreault
Keita Tsuji,Kyo Kageura
Clement T. Yu,M. Gordon,Shuang Liu,Gerard Salton,Yi Zhang,Robert Korfhage,Chris Buckley,Robert M. Losee,Ophir Frieder,Vijay Raghavan,Vijay V. Raghavan,Abdur Chowdhury,Neil R. Smalheiser
Tsvi Kuflik,Bracha Shapira
Fabio Crestani,Juan M. Fernandez-Luna,Gabriella Pasi,Maristella Agosti,C. J. van Rijsbergen,Pablo de la Fuente,Mark Sanderson,Jamie Callan,Mounia Lalmas,Sandor Dominich,Shengli Wu,Mark D. Dunlop,James P. Callan,Massimo Melucci,Henrik Nottelmann,Leif Azzopardi,Mohand Boughanem,Iain Campbell,David E. Losada
Warren R. Greiff,W. Bruce Croft
Carole L. Palmer,Cheryl Knott Malone,P. Bryan Heidorn
Robert M. Losee,Stephanie W. Haas
Chaomei Chen,Roy Rada
Joemon M. Jose,Jonathan Furner,Iadh Ounis,C. J. van Rijsbergen,Ryen W. White,David J. Harper,Hideo Joho
Ling Ma,Steven M. Beitzel,Ophir Frieder,Abdur Chowdhury
Robert W. P. Luk,K. L. Kwok,W. Bruce Croft,Kui-Lam Kwok,Wai Lam
Joe Carthy,Alan F. Smeaton
Shmuel T. Klein,Yaacov Choueka,Alistair Moffat,I. K. Ravichandra Rao,Timo Raita,Justin Zobel
Kiduk Yang,Lokman I. Meho,William M. Shaw Jr.,Robert G. Sumner Jr.
Mark Hepworth,Schubert Foo
Brian C. O'Connor,Howard Greisdorf,June M. Abbas
Isola Ajiferuke,Mutawakilu A. Tiamiyu,Dietmar Wolfram
Phil Vines,James A. Thom,Ross Wilkinson,Justin Zobel
William M. Shaw Jr.,Robert G. Sumner Jr.
Thomas Hofmann,Chris Buckley,Jinxi Xu,Alan F. Smeaton,Susan T. Dumais,Dragomir R. Radev,Norbert Fuhr,Wessel Kraaij,Mark Sanderson,David J. Harper,Jamie Callan,James P. Callan,ChengXiang Zhai,W. Bruce Croft,Djoerd Hiemstra,Nicholas J. Belkin
Dagobert Soergel,Martin Franz,James Mayfield,Xia Lin,Peiling Wang,Ryen W. White,Gareth J. F. Jones,Dina Demner-Fushman,Douglas W. Oard,Marcia Lei Zeng
Kai A. Olsen,James G. Williams,Robert Korfhage,Donald H. Kraft
Maurice Coyle,Oisin Boydell,Evelyn Balfe
Georges Quenot,Philippe Mulhem
Roi Blanco,Fabrizio Silvestri
Paul B. Thistlewaite,David Hawking,Nick Craswell
Berthier A. Ribeiro-Neto,Nivio Ziviani,Edleno Silva de Moura,Marco Cristo,Weiguo Fan,Ricardo A. Baeza-Yates
Philip Doty,Ann Peterson Bishop
Gordon V. Cormack,Forbes J. Burkowski,Chris Buckley,Charles L. A. Clarke,Olga Vechtomova,Thomas R. Lynam
M. Gordon,Robert Korfhage,Vijay V. Raghavan
Peter G. Anick,Mounia Lalmas
Miro Lehtonen,Antoine Doucet,Andrew Trotman,Nils Pharo
Jimmy J. Lin,Eileen G. Abels,Dina Demner-Fushman,Susan T. Dumais,Abdur Chowdhury
Ee-Peng Lim,Schubert Foo,Christopher S. G. Khoo,Wai Lam,Hsinchun Chen
Bruno Defude,Marie-France Bruandet,Yves Chiaramella
K. Choi,Sung-Hyon Myaeng
Jean Tague,M. H. Heine,Jason Farradane
P. Bryan Heidorn,Terry Noreault
C. J. van Rijsbergen,Alan F. Smeaton,Vassilis Plachouras,Mark Sanderson,David J. Harper,Mounia Lalmas,Sandor Dominich,Mark D. Dunlop,Joan M. Morrissey,W. Bruce Croft,Iadh Ounis,Hideo Joho,Leif Azzopardi,Ryen W. White,Iain Campbell
Aravindan Veerasamy,Nicholas J. Belkin
Nina Wacholder,Paul B. Kantor,Tomek Strzalkowski,Diane Kelly,Kwong Bor Ng
Eileen G. Abels,Paul B. Kantor,Dina Demner-Fushman,Tefko Saracevic,Jimmy Lin,Peter Liebscher
Sang-Bum Kim,Sung-Hyon Myaeng
Massimo Melucci,David Hawking,Maristella Agosti,Ricardo A. Baeza-Yates,Ryen W. White
Elisabeth Davenport,Blaise Cronin,Gunilla Widen-Wulff
Mark Sanderson,Douglas W. Oard,Djoerd Hiemstra,Stefan M. Ruger,Ross Purves,Alan F. Smeaton,Susan T. Dumais,James Mayfield,Norbert Fuhr,Micheline Beaulieu,ChengXiang Zhai,David A. Evans,Padmini Srinivasan,David J. Harper,Jinxi Xu,Julio Gonzalo,Charles L. A. Clarke,James P. Callan,Robert J. Gaizauskas,Tomek Strzalkowski,Nicholas J. Belkin,Mounia Lalmas,Jamie Callan,Stefan Siersdorfer,Roelof van Zwol,Hideo Joho,Chris Buckley,Justin Zobel,Wessel Kraaij,Noriko Kando,Tetsuya Sakai,Avi Arampatzis,W. Bruce Croft,Mark D. Dunlop,Dragomir R. Radev,Micheline Hancock-Beaulieu,Yosi Mass
Muh-Chyun (Morris) Tang,Diane Kelly,Ross Wilkinson,Nicholas J. Belkin,Colleen Cool,Gheorghe Muresan
Annelise Mark Pejtersen,Ulrich Thiel,William B. Rouse,Marcia J. Bates,Harry Bruce,Susan T. Dumais,Maristella Agosti,Diane H. Sonnenwald,Raya Fidel,Micheline Hancock-Beaulieu,Efthimis N. Efthimiadis
Jian-Yun Nie,Yunbo Cao,Iadh Ounis,Min Zhang,Dawei Song,Peter Bruza,Wessel Kraaij,Chin-Yew Lin,Marie-France Bruandet,Stephen Robertson,Sandor Dominich,Yves Chiaramella
Christian Plaunt,Michael K. Buckland
Evgeniy Gabrilovich,Andrei Z. Broder,Susan T. Dumais,Vassilis Plachouras
William S. Cooper,Aitao Chen,M. E. Maron
Gordon Sun,Hongyuan Zha
Yefei Peng,Daqing He,Yiming Yang
Ganesh Ramakrishnan,Chirag Shah
Jamie Callan,Chris Buckley,Jinxi Xu,Alan F. Smeaton,Paul Ogilvie,Yi Zhang,Paul B. Kantor,Susan T. Dumais,Wessel Kraaij,Norbert Fuhr,David J. Harper,Charles L. A. Clarke,ChengXiang Zhai,W. Bruce Croft,Hui Yang,Henrik Nottelmann,Djoerd Hiemstra,David A. Evans
Kui-Lam Kwok,Laszlo Grunfeld,Colleen Cool
Kyung-Soon Lee,W. Bruce Croft,Key-Sun Choi,Kyo Kageura
David A. Evans,William R. Hersh,Natasa Milic-Frayling,Susan T. Dumais,Chris Buckley,Charles L. A. Clarke,ChengXiang Zhai,David A. Hull
Bracha Shapira,Paul B. Kantor
Patrick Gallinari,Ludovic Denoyer,Benjamin Piwowarski,Hugo Zaragoza,Mounia Lalmas,Georges Dupret
Yves Rasolofo,David Hawking
Jin Zhang,Peiling Wang,Dietmar Wolfram,Robert Korfhage,Hongbo Xu,Alexandra Dimitroff
I. K. Ravichandra Rao,Leo Egghe,Timo Raita
Bicheng Liu,David J. Harper
Harold Borko,Robert M. Hayes,Tefko Saracevic
Georges Dupret,Holger Bast,Benjamin Piwowarski,Ricardo A. Baeza-Yates
Jacqueline Kracker,Peiling Wang
Helene Hembrooke,Lori Lorigo
Douglas W. Oard,James Mayfield,Ronald N. Kostoff,Martin Franz,Daqing He,Steve Renals,Kareem Darwish,Abdessamad Echihabi,Gareth J. F. Jones,Ryen W. White,Melanie Gnasa,Dina Demner-Fushman,Julio Gonzalo,Sanjeev Khudanpur
Susan T. Dumais,Djoerd Hiemstra,Jaime Teevan,Andrei Z. Broder,Alan F. Smeaton,Norbert Fuhr,ChengXiang Zhai,Rong Jin,Jinxi Xu,David J. Harper,Charles L. A. Clarke,Ryen W. White,Yoelle S. Maarek,James P. Callan,Nicholas J. Belkin,Harry Bruce,Paul N. Bennett,Chris Buckley,Wessel Kraaij,Raya Fidel,Jan O. Pedersen,W. Bruce Croft,Michael W. Berry,Dragomir R. Radev,Fabrizio Sebastiani,Micheline Hancock-Beaulieu,Ross Wilkinson,Eugene Agichtein
Lisa Covi,Rob Kling
Min Zhang,Dong-Hong Ji,Shaoping Ma
Christof Monz,Jaap Kamps,Borkur Sigurbjornsson
Hongyuan Zha,Michael W. Berry,Kai Yu,Xiangmin Zhang,Eugene Agichtein
Rosie Jones,Fernando Diaz,Jaime Teevan,Olga Vechtomova
Joyce Y. Chai,Rong Jin
Fabrizio Silvestri,Ricardo A. Baeza-Yates,Vassilis Plachouras
Charles T. Meadow,Donald H. Kraft,Bert R. Boyce,Weijing Yuan,Donald Owen Case
Robin Peek,Jeffrey Pomerantz
