Sreangsu Acharyya,Shourya Roy
Nathalie Moreno,Nora Koch,Piero Fraternali,Santiago Melia,Irene Garrigos,Jaime Gomez,Sara Comai,Marco Brambilla
Kumar Chellapilla,Baoning Wu,Carlos Castillo,Brian D. Davison
Bamshad Mobasher,Bing Liu,Robert Cooley,Sarabjot S. Anand
Daniel Oberle,Anupriya Ankolekar,Nenad Stojanovic,Steffen Staab
Sriram Raghavan,Alexander Loser,Junghoo Cho
Kunal Punera,Soumen Chakrabarti,Andrew Tomkins
Eugene Hung,Arun Iyengar
Ulrich Kuster,Federico Michele Facca,Marco Brambilla
Altigran Soares da Silva,Nivio Ziviani,Denilson Barbosa,Paulo Braz Golgher,Juliana Freire
Massimo Santini,Debora Donato,Carlos Castillo,Roberto Posenato,Sebastiano Vigna
Zhenglu Yang,Adam Jatowt
Paolo Merialdo,Alessandro Campi,Paolo Papotti
Atsushi Sugiura,Tomonari Kamba,Oren Etzioni
Jure Leskovec,Matthew Hurst,Natasa Milic-Frayling,Lars Backstrom,Dunja Mladenic,Andrew Tomkins
Shiren Ye,Min-Yen Kan
Martin Gaedke,Daniel Schwabe,San Murugesan,Geert-Jan Houben,Bebo White,Athula Ginige,Vicente Luque Centeno
Odysseas Papapetrou,Wolfgang Nejdl
Sheng Jiang,Juliana Freire
Jin Yu,Boualem Benatallah
Soumen Chakrabarti,Sridhar Rajagopalan,Juan Vera,Andrew Tomkins,Shashank Pandit,Bing Liu,Lars Rasmussen,Junghoo Cho
Alexander Loser,Mario T. Schlosser,Wolfgang Nejdl,Steffen Staab
Ning Zhong,Junzhong Ji,Hamish Cunningham,Jia Hu,Yuefeng Li,Frank van Harmelen,Chunnian Liu
Prasenjit Mitra,Steffen Staab
Irene Garrigos,Santiago Melia,Nora Koch,Olga De Troyer,Sven Casteleyn,Sara Comai,Piero Fraternali,Jaime Gomez
Wei-Ying Ma,Michael R. Lyu,Ji-Rong Wen,Haifeng Liu,Qing Li,Zheng Chen,Gui-Rong Xue,Lei Wu,Yong Yu
Akiyo Nadamoto,Hisashi Miyamori,Katsumi Tanaka,Adam Jatowt
Li Ma,Jean-Sebastien Brunner,Yong Yu
Nelly Litvak,Debora Donato
Blaz Fortuna,Natasa Milic-Frayling,Dunja Mladenic
Federico Michele Facca,Irene Celino,Marco Brambilla
Sascha Tonnies,Wolfgang Nejdl
Nora Koch,Santiago Melia,Andreas Schroeder,Sara Comai,Geert-Jan Houben,Piero Fraternali,Jaime Gomez
Michael R. Lyu,Massimo Marchiori,Zheng Chen,Irwin King
Hasan Davulcu,Srinivas Vadrevu,Fatih Gelgi,I. V. Ramakrishnan,Juliana Freire
Wen-Syan Li,Sougata Mukherjea,Quoc Vu,Wang-Pin Hsiung
Oliver Spatscheck,Pablo Rodriguez,Balachander Krishnamurthy,Fred Douglis,Steffen Staab
Balachander Krishnamurthy,David M. Kristol,Martin F. Arlitt,Fred Douglis
Nicholas Kushmerick,Mark Dredze
Min-Yen Kan,Simon Lok
Michael Chun Long Yip,Emilia Mendes
Fatih Gelgi,Srinivas Vadrevu
Massimiliano Albanese,Antonio Picariello
Maria de los Angeles Martin,Joan Fons,Silvia Mara Abrahao
Hua-Gang Li,Wang-Pin Hsiung
Sara Comai,Santiago Melia,Roberto Posenato,Alessandro Campi,Stefano Paraboschi,Juan Carlos Preciado,Marco Brambilla,Piero Fraternali,Jaime Gomez,Giovanni Toffetti Carughi
Fred Douglis,Joel L. Wolf,David M. Kristol,Arun Iyengar,John M. Tracey
Irwin King,Cheuk Hang Ng,Chi-Hang Chan,Wan Yeung Wong
Jussi Kangasharju,Gerhard Austaller
Anupriya Ankolekar,Nenad Stojanovic
Sarabjot S. Anand,Magdalini Eirinaki
Kaj Gronbak,Jesper Juhne,Lennert Sloth,Paul De Bra,Niels Olof Bouvin
Sigalit Ur,Vladimir Soroka
Yuefeng Li,Raymond Y. K. Lau
Sebastiano Vigna,Debora Donato,Carlos Castillo,Roberto Posenato
Christian Bizer,Robert Tolksdorf
Ellen Spertus,Orkut Buyukkokten
Junzhong Ji,Chunnian Liu
Gianluca Demartini,Wolfgang Nejdl,Paul-Alexandru Chirita
Paul-Alexandru Chirita,Mario T. Schlosser,Carlos Castillo,Wolfgang Nejdl
Santiago Melia,Coral Calero,Katsumi Tanaka,Piero Fraternali,Jaime Gomez
Bay-Wei Chang,Sergey Brin,Arturo Crespo
Zheng Chen,Peng Han,Gui-Rong Xue,Yong Yu
Corin R. Anderson,Oren Etzioni
Mukund Raghavachari,Marcus Fontoura
Uwe Zdun,Wolfgang Nejdl,Peter Dolog
Baoning Wu,Brian D. Davison
San Murugesan,Daniel Schwabe,Bebo White,Athula Ginige
Junghoo Cho,Sridhar Rajagopalan,Andrew Tomkins,Orkut Buyukkokten,Sougata Mukherjea,Belle L. Tseng
Niels Olof Bouvin,Lennert Sloth
Cheuk Hang Ng,Chi-Hang Chan
Stefano Paraboschi,Piero Fraternali,Angela Bonifati
Lei Gao,Arun Iyengar
Paul De Bra,Richard Vdovjak,Wolfgang Nejdl,Peter Dolog,Geert-Jan Houben,Lloyd Rutledge
Steffen Staab,Vania Dimitrova,Wolfgang Nejdl,Olga De Troyer,Geert-Jan Houben,Nenad Stojanovic,Frank van Harmelen
Debora Donato,Gilad Mishne,Carlos Castillo,Fabrizio Silvestri,Ricardo A. Baeza-Yates
Maria-Esther Vidal,George A. Mihaila
Frank Wehner,Klaus Meisner
Jaime Gomez,Emilia Mendes,Sven Casteleyn,Piero Fraternali,Silvia Mara Abrahao
I. V. Ramakrishnan,Srinivas Vadrevu,Juliana Freire,Jalal Mahmud
Roberto J. Bayardo Jr.,Ramakrishnan Srikant,Sridhar Rajagopalan
Katsumi Tanaka,Hiroyuki Toda,Kenji Hatano,Hisashi Miyamori,Adam Jatowt
Yisheng Dong,Ji-Rong Wen
Daniel Lowd,Stanley Kok
Qing Li,Ji-Rong Wen,Byeong Man Kim,Xiaoping Sun
Chris Burges,Nick Craswell
Jussi Myllymaki,Stefan Edlund
Carlos Castillo,Ricardo A. Baeza-Yates,Fabrizio Silvestri,Brian D. Davison,Gilad Mishne,Vassilis Plachouras
Long Wang 0002,Chunnian Liu
Peter Barna,Richard Vdovjak,Klaus Meisner,Geert-Jan Houben
Bebo White,Daniel Schwabe,Athula Ginige
Haifeng Liu,Aixin Sun,Ji-Rong Wen
James E. Pitkow,Eytan Adar,Robert Cooley
Donald Kossmann,Markus Keidl,Jonathan Robie,Christian Wiesner,Sihem Amer-Yahia
Sven Casteleyn,Peter Dolog,Geert-Jan Houben,Olga De Troyer
Robert Cooley,Eytan Adar,Mukund Deshpande,Joseph A. Konstan
Pablo Rodriguez,Haewoon Kwak
Peter Dolog,Wolfgang Nejdl,Olga De Troyer,Geert-Jan Houben
Ramakrishnan Srikant,Quoc Vu,John C. Shafer,Sridhar Rajagopalan
Yuji Inoue,Ricardo A. Baeza-Yates
Emilia Mendes,Carmine Gravino,Silvia Mara Abrahao,Filomena Ferrucci
Geert-Jan Houben,Vania Dimitrova,Daniel Schwabe,Wolfgang Nejdl,Olga De Troyer,Richard Vdovjak,Klaus Meisner
Angela Bonifati,Piero Fraternali,Alessandro Campi
Massimo Marchiori,Jonathan Robie
Evren Sirin,James A. Hendler
Marc Najork,Brian D. Davison,Nick Craswell
Asuncion Gomez-Perez,Maria S. Perez
Xiaoping Sun,Jie Liu
Irene Celino,Marco Brambilla
Boualem Benatallah,Mourad Ouzzani,Aixin Sun,Nick Russell,Liangzhao Zeng
Omar Benjelloun,Arnaud Sahuguet
Yong Yu,Ji-Rong Wen,Bing Liu,Jean-Sebastien Brunner,Gui-Rong Xue
Evgeniy Gabrilovich,Marcus Fontoura,Vassilis Plachouras
Sihem Amer-Yahia,Shashank Pandit,Juliana Freire,Ricardo A. Baeza-Yates
Piero Fraternali,Alessandro Campi,Marco Brambilla,Giovanni Toffetti Carughi
Carmine Gravino,Giuseppe Scanniello,Filomena Ferrucci
Alessandro Campi,Marco Brambilla
Andrew Tomkins,Sridhar Rajagopalan,Ziv Bar-Yossef,Lars Backstrom,Marcus Fontoura
Stanley Kok,Oren Etzioni
Daniel Schwabe,Matias Urbieta,Athula Ginige
Luis Sanchez Fernandez,Vicente Luque Centeno
Georges Dupret,Ricardo A. Baeza-Yates
Lloyd Rutledge,Patrick Schmitz
Ning Zhang 0003,Zhuoqun Xu
James A. Hendler,Daniel J. Weitzner
Marcus Fontoura,Sridhar Rajagopalan,Ronny Lempel,Ziv Bar-Yossef,Vassilis Plachouras,John J. Barton
Giuseppe Scanniello,Filomena Ferrucci
Rohit Khare,Frank van Harmelen
Hamish Cunningham,Yaoyong Li,Frank van Harmelen
Mike Perkowitz,Oren Etzioni
Kentaro Toyama,Tapan S. Parikh
Fabrizio Silvestri,Ricardo A. Baeza-Yates,Vassilis Plachouras
Vladimir Soroka,Ziv Bar-Yossef,Ronny Lempel
Bing Liu,Fangfang Liu
Sougata Mukherjea,Quoc Vu
Jonathan Robie,Makoto Murata
Huamin Chen,Arun Iyengar
Belle L. Tseng,Savitha Srinivasan
Ricardo A. Baeza-Yates,Nivio Ziviani,Vassilis Plachouras,Savitha Srinivasan
Mario T. Schlosser,Arturo Crespo,Wolfgang Nejdl
Ronny Lempel,Gilad Mishne,Ziv Bar-Yossef
Juliana Freire,Denilson Barbosa
Oren Etzioni,Richard Segal
Eytan Adar,Lada Adamic,Orkut Buyukkokten
Michele Colajanni,Vittorio Scarano
Joan Fons,Silvia Mara Abrahao
Steve Lawrence,Eric J. Glover
Natasa Milic-Frayling,Kerry Rodden,Gavin Smyth,Dunja Mladenic
Koraljka Golub,Dunja Mladenic
Liangzhao Zeng,Kuo Zhang,George A. Mihaila
Orkut Buyukkokten,Arturo Crespo
George A. Mihaila,Denilson Barbosa
Sridhar Rajagopalan,Ziv Bar-Yossef
Kerry Rodden,Gavin Smyth
Victor Robles,Maria S. Perez
Christian Wiesner,Wolfgang Nejdl
Nivio Ziviani,Paulo Braz Golgher
Richard Segal,Barry Leiba
Chunnian Liu,Wei Tang
